name,address,phone,website,category,rating,search_query,scraped_at,email,status,sent_at,response_date,subject,followup_sent_at
EU,,,,,,,,diogocouto.couto@gmail.com,followup_sent,2026-03-14T18:37:06.019216,,EU - uma pergunta rápida sobre as vossas chamadas,2026-04-14T18:45:30.257627
Eurostars Matosinhos,"R. Heróis de França 536, 4450-159 Matosinhos, Portugal",,https://www.eurostarshotels.com.pt/eurostars-matosinhos.html?referer_code=lb0gg00yx&utm_source=google&utm_medium=business&utm_campaign=lb0gg00yx,Hotel,"4,6 estrelas",hotéis Porto,2026-03-19T20:48:08.650974,reservas@eurostarsmatosinhos.com,followup_sent,,,,
ABC Hotel Porto - Boavista,"Av. da França 168 178, 4050-278 Porto, Portugal",,http://www.abchotels.pt/,Hotel,"4,1 estrelas",hotéis Porto,2026-03-19T20:48:15.525048,reservas.pcm@abchotels.pt,followup_sent,,,,
Hotel ibis Porto Centro,"Rua da Alegria 29, 4000-041 Porto, Portugal",,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=3344&merchantid=seo-maps-PT-3344&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,Hotel,"4,1 estrelas",hotéis Porto,2026-03-19T20:48:18.137872,h3344@accor.com,followup_sent,,,,
The House of Sandeman - Hostel & Suites,"ua da Alegria 29, 4000-041 Porto, Portugal",,http://thehouseofsandeman.pt/,Hostel,"4,1 estrelas",hotéis Porto,2026-03-19T20:48:22.958843,reservations@thehouseofsandeman.pt,followup_sent,,,,
Ibis Budget Porto Gaia,"R. Martir São Sebastião 390, 4400-499 Vila Nova de Gaia, Portugal",,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=5106&merchantid=seo-maps-PT-5106&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,Hotel,"4,0 estrelas",hotéis Porto,2026-03-19T20:48:27.259053,h5106@accor.com,followup_sent,,,,
Hotel Moov Porto Centro,"Praça da Batalha 32, 4000-101 Porto, Portugal",,http://www.hotelmoov.com/,Hotel,"4,3 estrelas",hotéis Porto,2026-03-19T20:48:29.493528,portonorte@hotelmoov.com,followup_sent,,,,
Park Hotel,"R. da Bélgica 3172, 4400-049 Vila Nova de Gaia, Portugal",,http://www.parkhotel.pt/,Hotel,"4,1 estrelas",hotéis Porto,2026-03-19T20:48:34.152180,geral.aeroporto@parkhotel.pt,followup_sent,,,,
Grande Hotel do Porto,"R. de Paulo da Gama 551, 4169-006 Porto, Portugal",,https://www.pousadasjuventude.pt/pt/pousadas/,Hotel,"3,8 estrelas",hotéis Porto,2026-03-19T20:48:38.849134,hello@pousadasjuventude.pt,followup_sent,,,,
The Editory Garden Baixa Hotel,"R. da Firmeza 39, 4000-277 Porto, Portugal",,https://www.editoryhotels.com/the-editory-garden/,Hotel,"4,8 estrelas",hotéis Porto,2026-03-19T20:48:46.982618,recepcao.garden@editoryhotels.pt,followup_sent,,,,
Vincci Ponte de Ferro,"R. da Firmeza 39, 4000-277 Porto, Portugal",,https://www.vinccipontedeferro.com/?utm_source=google&utm_medium=organic&utm_campaign=GoogleMyBusiness&partner=8221,Hotel,"4,6 estrelas",hotéis Porto,2026-03-19T20:48:51.828140,pontedeferro@vinccihoteles.com,followup_sent,,,,
Axis Porto Business & SPA Hotel,"R. Maria Feliciana 100, 4465-283 São Mamede de Infesta, Portugal",,https://www.axishoteis.com/axis-porto.html?utm_medium=organic&utm_source=google&utm_campaign=google-my-business&utm_term=google-local&utm_id=axis-porto,Hotel,"4,3 estrelas",hotéis Porto,2026-03-19T20:48:58.740344,booking@maarlab.com,followup_sent,,,,
Easy Host Porto,"Av. de Camilo 352, 4300-095 Porto, Portugal",+351936578601,https://us2.cloudbeds.com/reservation/0uPRsY,Hotel,"4,3 estrelas",hotéis Porto,2026-03-19T20:49:01.177330,easy.host.porto@outlook.com,followup_sent,,,,
travel & live porto hostel,"R. de Santa Catarina 486, 4000-124 Porto, Portugal",+351910605669,https://travelandlivehostel.com/,Hostel,"4,1 estrelas",hotéis Porto,2026-03-19T20:49:11.382992,travelandlivehostel@gmail.com,followup_sent,,,,
Hotel Estoril Porto,"Nº De Registo:303, R. Martir São Sebastião, Afurada de Baixo, 4400-499 Vila Nova de Gaia, Portugal",,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=1050&merchantid=seo-maps-PT-1050&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,Hotel,"4,2 estrelas",hotéis Porto,2026-03-19T20:49:18.313505,h1050@accor.com,followup_sent,,,,
Hotel da Bolsa,"R. de Ferreira Borges 101, 4050-253 Porto, Portugal",,https://www.artsoulgroup.com/hoteldabolsa/,Hotel,"4,1 estrelas",hotéis Porto,2026-03-19T20:49:20.691061,bolsa@artsoulgroup.com,followup_sent,,,,
Porto Royal Bridges,"R. de Mouzinho da Silveira 257, 4050-421 Porto, Portugal",,https://www.bestguesthostel.com/en/,Hotel,"4,5 estrelas",hotéis Porto,2026-03-19T20:49:30.589388,bgh@bestguesthostel.com,followup_sent,,,,
